﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:71XaNN1mGzNx3pyhSVduxF","Quebrando tudo","Hermeto Pascoal","Dose Dupla Hermeto Pascoal","2","9","355453","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:58:39Z"
"spotify:track:7FNYjfgNPRSWZaWDXKB459","Under the Sea","Jacob Collier","Jazz Loves Disney 2 - A Kind Of Magic","1","4","279293","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T16:59:48Z"
"spotify:track:50WP7MfQBAlZGFkQt48neP","Pernambuco Falando para o Mundo","Hermeto Pascoal","Hermeto Pascoal e Sua Visão Original do Forró","1","4","214160","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T17:01:00Z"
"spotify:track:6kMJZyliukkKJdGz0E7uLI","São Jorge","Hermeto Pascoal","Grandes Mestres da MPB","1","2","155373","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T17:01:51Z"
"spotify:track:5cS7aD4QQcM8EUXnMkEPil","冷ややかな情景","Lamp","東京ユウトピア通信","1","3","429306","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-25T16:22:50Z"
"spotify:track:45wiJJ90tsPv0vPqc9ooo6","Batucada","Sergio Mendes & Brasil '66, Ray Gilbert, Marcos Valle, Paulo Sergio Valle","Latin Jazz Lounge","1","6","143093","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-29T19:20:24Z"
"spotify:track:5EvehLwAeQkVwwEfoAawa4","Jarabi","AfroCubism","Afrocubism","1","6","357413","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-30T15:58:03Z"
"spotify:track:0f7fIrRgIYrTzXQOMreRry","Galatea's Guitar","Gábor Szabó","Dreams","1","1","342640","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-30T16:11:44Z"
"spotify:track:6ZgzbegG54CrKCXBgGRogc","Hello","Adam Neely, JAE SOTO","Hello","1","1","276758","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-30T18:26:06Z"
"spotify:track:2sEmZge5ZfzrFrDGFJbkyP","Strings of Light","Yussef Kamaal","Black Focus","1","2","508773","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-31T17:04:34Z"
"spotify:track:0f3BvTjePptxReXkfK5HDb","Valdez Off Crenshaw","Terrace Martin","Velvet Portraits","1","2","271080","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-31T17:10:05Z"
"spotify:track:4QSjp5nuuNAdlzUbVhICRM","I Can't Help It","Esperanza Spalding, Joe Lovano","Radio Music Society","1","6","282053","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-11-01T19:13:38Z"
"spotify:track:6XqBNBCqLypx0rubKLtkcC","A Nível De...","João Bosco","Comissão De Frente","1","2","220066","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-11-11T19:20:55Z"
"spotify:track:6yOZg5nN0tet0GZS3OtqS5","Habanera Imposible (with Estrella Morente)","Maria Dolores Pradera, Estrella Morente","Mujeres de Fina Estampa","1","8","249506","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-11-12T11:13:13Z"
